Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$16.59,-0.25,-1.485%,10310345270.00,United States,,39142697,Transportation,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$134.99,0.85,0.634%,2340367526600.00,United States,1980,82910342,Technology,Computer Manufacturing
ABMD,ABIOMED Inc. Common Stock,$347.84,5.98,1.749%,15730923473.00,United States,,295956,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$179.17,-1.27,-0.704%,106856810084.00,United States,2020,4404921,Finance,Diversified Commercial Services
ADBE,Adobe Inc. Common Stock,$484.93,14.93,3.177%,232135991000.00,United States,1986,3019789,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$151.87,-0.01,-0.007%,56101318961.00,United States,,2536459,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$168.38,2.03,1.22%,72083478000.00,United States,,1863297,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$294.61,8.29,2.895%,64781617018.00,United States,,1146070,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$82.11,0.93,1.146%,40758544637.00,United States,,2584254,Public Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$113.00,5.39,5.009%,27430385123.00,United States,2021,1864349,Miscellaneous,Business Services
AKAM,Akamai Technologies Inc. Common Stock,$112.21,0.56,0.502%,18267113393.00,United States,1999,1713711,Miscellaneous,Business Services
ALGN,Align Technology Inc. Common Stock,$557.77,14.72,2.711%,43980383146.00,United States,2001,790901,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$154.05,4.80,3.216%,17897647310.00,United States,2004,999029,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals Inc. Common Stock,$154.86,-0.84,-0.539%,33871067006.00,United States,1996,2068722,Health Care,Major Pharmaceuticals
AMAT,Applied Materials Inc. Common Stock,$103.59,2.38,2.352%,95060485587.00,United States,1972,5106834,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$88.86,1.20,1.369%,107704920876.00,United States,,33786362,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$240.49,0.06,0.025%,140005729500.00,United States,1983,2442932,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMZN,Amazon.com Inc. Common Stock,$3380.00,37.12,1.11%,1695918998540.00,United States,1997,7014736,Consumer Services,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$375.12,7.18,1.951%,32216853720.00,United States,1996,300443,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,$193.18,-17.89,-8.476%,13532044957.00,United States,2017,1956968,Technology,Computer Software: Prepackaged Software
ATVI,Activision Blizzard Inc. Common Stock,$93.98,2.56,2.80%,72633118246.00,United States,,5775923,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$476.88,10.14,2.173%,193953351712.00,United States,2009,1613146,Technology,Semiconductors
AXON,Axon Enterprise Inc. Common Stock,$166.53,0.38,0.229%,10582964514.00,United States,,357194,Capital Goods,Ordnance And Accessories
BIIB,Biogen Inc. Common Stock,$277.72,-0.74,-0.266%,42735997119.00,United States,,1192708,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKNG,Booking Holdings Inc. Common Stock,$2065.53,75.07,3.771%,84593599383.00,United States,,440674,Consumer Services,Transportation Services
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$83.19,0.19,0.229%,15101452998.00,United States,1999,1439795,Health Care,Major Pharmaceuticals
BSY,Bentley Systems Incorporated Class B Common Stock,$44.90,2.25,5.275%,12193941012.00,United States,2020,606513,Technology,Computer Software: Prepackaged Software
BYND,Beyond Meat Inc. Common Stock,$167.16,-10.81,-6.074%,10473519958.00,United States,2019,5382675,Consumer Non-Durables,Packaged Foods
CDNS,Cadence Design Systems Inc. Common Stock,$135.72,1.32,0.982%,37856515320.00,United States,,1442128,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$141.44,3.28,2.374%,20224252564.00,United States,2013,713303,Consumer Services,Catalog/Specialty Distribution
CERN,Cerner Corporation Common Stock,$80.48,0.39,0.487%,24674354991.00,United States,1986,1169541,Technology,EDP Services
